region,count,per100k,date
Ale,185,662,2013-04-01
Alingsås,277,720,2013-04-01
Alvesta,115,600,2013-04-01
Aneby,24,376,2013-04-01
Arboga,125,931,2013-04-01
Arjeplog,22,729,2013-04-01
Arvidsjaur,35,541,2013-04-01
Arvika,188,728,2013-04-01
Askersund,69,624,2013-04-01
Avesta,153,711,2013-04-01
Bengtsfors,80,836,2013-04-01
Berg,49,682,2013-04-01
Bjurholm,9,371,2013-04-01
Bjuv,157,1058,2013-04-01
Boden,216,779,2013-04-01
Bollebygd,37,434,2013-04-01
Bollnäs,158,604,2013-04-01
Borgholm,72,673,2013-04-01
Borlänge,478,961,2013-04-01
Borås,1015,963,2013-04-01
Botkyrka,1055,1214,2013-04-01
Boxholm,19,362,2013-04-01
Bromölla,67,545,2013-04-01
Bräcke,38,575,2013-04-01
Burlöv,215,1260,2013-04-01
Båstad,139,974,2013-04-01
Dals-Ed,30,638,2013-04-01
Danderyd,239,745,2013-04-01
Degerfors,55,580,2013-04-01
Dorotea,9,324,2013-04-01
Eda,70,827,2013-04-01
Ekerö,139,529,2013-04-01
Eksjö,122,743,2013-04-01
Emmaboda,56,624,2013-04-01
Enköping,381,941,2013-04-01
Eskilstuna,1196,1205,2013-04-01
Eslöv,321,1008,2013-04-01
Essunga,36,655,2013-04-01
Fagersta,107,839,2013-04-01
Falkenberg,320,768,2013-04-01
Falköping,233,732,2013-04-01
Falun,323,571,2013-04-01
Filipstad,93,881,2013-04-01
Finspång,140,672,2013-04-01
Flen,141,876,2013-04-01
Forshaga,62,549,2013-04-01
Färgelanda,34,520,2013-04-01
Gagnef,33,329,2013-04-01
Gislaved,162,564,2013-04-01
Gnesta,41,393,2013-04-01
Gnosjö,66,704,2013-04-01
Gotland,434,759,2013-04-01
Grums,66,739,2013-04-01
Grästorp,55,975,2013-04-01
Gullspång,40,769,2013-04-01
Gällivare,130,709,2013-04-01
Gävle,928,960,2013-04-01
Göteborg,7135,1347,2013-04-01
Götene,68,521,2013-04-01
Habo,50,458,2013-04-01
Hagfors,74,611,2013-04-01
Hallsberg,140,917,2013-04-01
Hallstahammar,168,1088,2013-04-01
Halmstad,836,893,2013-04-01
Hammarö,52,344,2013-04-01
Haninge,990,1235,2013-04-01
Haparanda,78,788,2013-04-01
Heby,78,582,2013-04-01
Heby,0,0,2013-04-01
Hedemora,129,858,2013-04-01
Helsingborg,2073,1565,2013-04-01
Herrljunga,64,690,2013-04-01
Hjo,27,306,2013-04-01
Hofors,63,662,2013-04-01
Huddinge,1160,1140,2013-04-01
Hudiksvall,208,565,2013-04-01
Hultsfred,110,809,2013-04-01
Hylte,122,1218,2013-04-01
Håbo,130,652,2013-04-01
Hällefors,54,773,2013-04-01
Härjedalen,85,828,2013-04-01
Härnösand,368,1505,2013-04-01
Härryda,268,755,2013-04-01
Hässleholm,466,928,2013-04-01
Höganäs,136,545,2013-04-01
Högsby,72,1258,2013-04-01
Hörby,139,931,2013-04-01
Höör,105,674,2013-04-01
Jokkmokk,27,532,2013-04-01
Järfälla,664,967,2013-04-01
Jönköping,903,694,2013-04-01
Kalix,92,559,2013-04-01
Kalmar,512,803,2013-04-01
Karlsborg,25,372,2013-04-01
Karlshamn,184,590,2013-04-01
Karlskoga,293,987,2013-04-01
Karlskrona,445,697,2013-04-01
Karlstad,773,885,2013-04-01
Katrineholm,383,1170,2013-04-01
Kil,60,509,2013-04-01
Kinda,37,379,2013-04-01
Kiruna,123,533,2013-04-01
Klippan,201,1204,2013-04-01
Knivsta,79,512,2013-04-01
Kramfors,194,1050,2013-04-01
Kristianstad,657,814,2013-04-01
Kristinehamn,143,600,2013-04-01
Krokom,30,205,2013-04-01
Kumla,186,893,2013-04-01
Kungsbacka,420,545,2013-04-01
Kungsör,54,666,2013-04-01
Kungälv,427,1018,2013-04-01
Kävlinge,227,769,2013-04-01
Köping,243,970,2013-04-01
Laholm,166,707,2013-04-01
Landskrona,675,1576,2013-04-01
Laxå,25,449,2013-04-01
Lekeberg,29,398,2013-04-01
Leksand,73,482,2013-04-01
Lerum,246,628,2013-04-01
Lessebo,61,759,2013-04-01
Lidingö,240,536,2013-04-01
Lidköping,238,621,2013-04-01
Lilla Edet,94,740,2013-04-01
Lindesberg,169,732,2013-04-01
Linköping,1375,921,2013-04-01
Ljungby,179,654,2013-04-01
Ljusdal,109,577,2013-04-01
Ljusnarsberg,39,802,2013-04-01
Lomma,109,487,2013-04-01
Ludvika,146,569,2013-04-01
Luleå,642,854,2013-04-01
Lund,1142,1005,2013-04-01
Lycksele,68,552,2013-04-01
Lysekil,87,605,2013-04-01
Malmö,4876,1571,2013-04-01
Malung-Sälen,123,1215,2013-04-01
Malå,7,220,2013-04-01
Mariestad,178,748,2013-04-01
Mark,199,589,2013-04-01
Markaryd,94,990,2013-04-01
Mellerud,79,886,2013-04-01
Mjölby,193,735,2013-04-01
Mora,140,699,2013-04-01
Motala,349,830,2013-04-01
Mullsjö,22,312,2013-04-01
Munkedal,88,864,2013-04-01
Munkfors,28,767,2013-04-01
Mölndal,585,946,2013-04-01
Mönsterås,70,544,2013-04-01
Mörbylånga,37,259,2013-04-01
Nacka,755,806,2013-04-01
Nora,41,395,2013-04-01
Norberg,64,1139,2013-04-01
Nordanstig,16,168,2013-04-01
