region,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01
Ale,680.0,597.0,662.0,662.0,1048.0,622.0,758.0,851.0,737.0,1066.0,887.0,823.0,772.0,630.0,704.0,775.0,864.0,881.0,655.0,623.0,821.0,811.0,690.0,531.0,772.0,566.0,688.0,695.0,754.0,803.0,653.0,674.0,841.0,639.0,573.0,573.0,641.0,627.0,835.0,582.0,783.0,689.0,520.0,592.0,703.0,717.0,658.0,620.0
Alingsås,683.0,611.0,678.0,720.0,891.0,881.0,676.0,798.0,894.0,782.0,774.0,618.0,643.0,686.0,861.0,946.0,977.0,864.0,789.0,820.0,1000.0,910.0,897.0,784.0,822.0,833.0,1005.0,883.0,817.0,954.0,764.0,838.0,914.0,1125.0,741.0,815.0,763.0,927.0,803.0,884.0,1073.0,954.0,758.0,765.0,803.0,869.0,972.0,780.0
Alvesta,663.0,553.0,532.0,600.0,924.0,762.0,971.0,606.0,658.0,877.0,606.0,653.0,521.0,407.0,619.0,572.0,763.0,696.0,578.0,609.0,634.0,681.0,691.0,717.0,640.0,604.0,701.0,691.0,829.0,670.0,911.0,798.0,701.0,619.0,527.0,609.0,557.0,526.0,628.0,572.0,506.0,730.0,623.0,531.0,664.0,567.0,577.0,521.0
Aneby,563.0,250.0,1189.0,376.0,814.0,814.0,751.0,657.0,501.0,344.0,579.0,407.0,484.0,375.0,594.0,484.0,719.0,391.0,812.0,812.0,687.0,484.0,328.0,562.0,571.0,463.0,478.0,555.0,849.0,895.0,602.0,571.0,633.0,648.0,663.0,555.0,658.0,826.0,642.0,688.0,597.0,474.0,750.0,903.0,964.0,795.0,642.0,811.0
Arboga,983.0,700.0,775.0,931.0,909.0,1006.0,887.0,1214.0,723.0,1058.0,760.0,857.0,914.0,973.0,936.0,936.0,907.0,1121.0,1003.0,929.0,914.0,1069.0,723.0,641.0,618.0,691.0,946.0,1048.0,931.0,837.0,880.0,1331.0,924.0,691.0,851.0,575.0,534.0,866.0,772.0,794.0,592.0,671.0,657.0,902.0,671.0,606.0,837.0,649.0
Arjeplog,298.0,298.0,597.0,729.0,563.0,563.0,762.0,530.0,497.0,497.0,928.0,464.0,747.0,544.0,612.0,1087.0,781.0,1155.0,713.0,272.0,612.0,645.0,408.0,442.0,656.0,380.0,932.0,242.0,483.0,311.0,483.0,1277.0,1001.0,794.0,621.0,414.0,623.0,1005.0,970.0,970.0,623.0,797.0,797.0,866.0,381.0,693.0,866.0,831.0
Arvidsjaur,386.0,417.0,448.0,541.0,587.0,788.0,263.0,526.0,649.0,526.0,356.0,479.0,803.0,371.0,571.0,571.0,710.0,432.0,849.0,1065.0,803.0,648.0,633.0,602.0,756.0,741.0,633.0,463.0,803.0,525.0,756.0,741.0,648.0,463.0,679.0,633.0,448.0,742.0,881.0,541.0,634.0,649.0,742.0,850.0,989.0,1020.0,1035.0,865.0
Arvika,860.0,747.0,782.0,728.0,1111.0,902.0,705.0,906.0,736.0,984.0,918.0,767.0,756.0,694.0,709.0,954.0,973.0,837.0,822.0,884.0,938.0,1039.0,1074.0,830.0,899.0,550.0,938.0,1023.0,1062.0,829.0,926.0,1360.0,818.0,988.0,682.0,756.0,902.0,546.0,871.0,735.0,817.0,917.0,894.0,1173.0,956.0,890.0,739.0,867.0
Askersund,1248.0,733.0,733.0,624.0,507.0,787.0,1176.0,724.0,905.0,624.0,534.0,525.0,540.0,567.0,684.0,576.0,756.0,783.0,1026.0,684.0,810.0,1152.0,648.0,792.0,683.0,395.0,629.0,781.0,718.0,674.0,1239.0,970.0,1203.0,961.0,1159.0,1132.0,744.0,816.0,843.0,1049.0,753.0,906.0,870.0,798.0,1148.0,942.0,628.0,547.0
Avesta,906.0,697.0,660.0,711.0,1031.0,1101.0,743.0,897.0,762.0,873.0,753.0,641.0,977.0,812.0,780.0,794.0,913.0,871.0,807.0,876.0,757.0,784.0,679.0,518.0,598.0,500.0,759.0,995.0,737.0,781.0,870.0,1009.0,1147.0,790.0,777.0,804.0,773.0,773.0,816.0,882.0,1216.0,1058.0,869.0,970.0,1295.0,869.0,970.0,1058.0
Bengtsfors,470.0,711.0,637.0,836.0,941.0,857.0,930.0,679.0,376.0,711.0,439.0,491.0,649.0,419.0,586.0,597.0,806.0,691.0,743.0,858.0,628.0,670.0,502.0,555.0,657.0,615.0,1084.0,1282.0,573.0,1168.0,667.0,563.0,500.0,626.0,615.0,459.0,810.0,509.0,706.0,665.0,914.0,758.0,665.0,2431.0,945.0,686.0,603.0,790.0
Berg,751.0,570.0,668.0,682.0,306.0,696.0,835.0,515.0,668.0,292.0,445.0,390.0,366.0,422.0,548.0,562.0,548.0,548.0,394.0,590.0,590.0,422.0,422.0,422.0,369.0,496.0,511.0,525.0,851.0,993.0,624.0,596.0,667.0,624.0,440.0,496.0,384.0,412.0,526.0,569.0,327.0,583.0,526.0,910.0,711.0,327.0,611.0,882.0
Bjurholm,247.0,165.0,247.0,371.0,618.0,453.0,453.0,453.0,165.0,371.0,371.0,659.0,655.0,205.0,614.0,327.0,573.0,409.0,655.0,737.0,409.0,573.0,286.0,1146.0,979.0,408.0,734.0,816.0,489.0,530.0,489.0,1020.0,326.0,612.0,653.0,816.0,571.0,408.0,2364.0,978.0,408.0,448.0,489.0,693.0,367.0,571.0,408.0,611.0
Bjuv,1119.0,924.0,789.0,1058.0,1348.0,1018.0,1200.0,1793.0,1025.0,1375.0,1065.0,1018.0,1462.0,1037.0,1327.0,1347.0,1307.0,1556.0,1010.0,1145.0,1374.0,1643.0,1206.0,1495.0,1145.0,945.0,1212.0,991.0,1139.0,998.0,851.0,871.0,1139.0,1065.0,871.0,1112.0,802.0,936.0,1043.0,902.0,876.0,1003.0,835.0,1216.0,1083.0,1003.0,1130.0,749.0
Boden,743.0,642.0,610.0,779.0,754.0,823.0,913.0,934.0,891.0,844.0,689.0,588.0,599.0,485.0,650.0,1181.0,797.0,596.0,725.0,754.0,904.0,621.0,614.0,628.0,670.0,817.0,717.0,566.0,703.0,781.0,789.0,1061.0,986.0,925.0,789.0,699.0,681.0,810.0,659.0,949.0,656.0,888.0,842.0,781.0,885.0,802.0,1021.0,763.0
