Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Apr;199;695;
Ale kommun;Våldsbrott ;2015;Apr;17;59;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Apr;30;105;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Apr;1;3;
Ale kommun;Stöldbrott;2015;Apr;90;314;
Ale kommun;Bilbrott;2015;Apr;36;126;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Apr;31;108;
Ale kommun;Vissa trafikbrott;2015;Apr;11;38;
Ale kommun;Alkohol- och narkotikabrott;2015;Apr;9;31;
Ale kommun;Vapenbrott;2015;Apr;0;0;
Alingsås kommun;Totalt antal brott;2015;Apr;348;883;
Alingsås kommun;Våldsbrott ;2015;Apr;28;71;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Apr;38;96;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Apr;0;0;
Alingsås kommun;Stöldbrott;2015;Apr;124;315;
Alingsås kommun;Bilbrott;2015;Apr;14;36;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Apr;26;66;
Alingsås kommun;Vissa trafikbrott;2015;Apr;34;86;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Apr;76;193;
Alingsås kommun;Vapenbrott;2015;Apr;11;28;
Alvesta kommun;Totalt antal brott;2015;Apr;135;691;
Alvesta kommun;Våldsbrott ;2015;Apr;27;138;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Apr;35;179;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Apr;0;0;
Alvesta kommun;Stöldbrott;2015;Apr;32;164;
Alvesta kommun;Bilbrott;2015;Apr;8;41;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Apr;11;56;
Alvesta kommun;Vissa trafikbrott;2015;Apr;8;41;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Apr;11;56;
Alvesta kommun;Vapenbrott;2015;Apr;1;5;
Aneby kommun;Totalt antal brott;2015;Apr;36;555;
Aneby kommun;Våldsbrott ;2015;Apr;2;31;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Apr;15;231;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Apr;1;15;
Aneby kommun;Stöldbrott;2015;Apr;8;123;
Aneby kommun;Bilbrott;2015;Apr;0;0;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Apr;4;62;
Aneby kommun;Vissa trafikbrott;2015;Apr;5;77;
Aneby kommun;Alkohol- och narkotikabrott;2015;Apr;3;46;
Aneby kommun;Vapenbrott;2015;Apr;0;0;
Arboga kommun;Totalt antal brott;2015;Apr;144;1048;
Arboga kommun;Våldsbrott ;2015;Apr;14;102;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Apr;40;291;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Apr;2;15;
Arboga kommun;Stöldbrott;2015;Apr;41;298;
Arboga kommun;Bilbrott;2015;Apr;6;44;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Apr;13;95;
Arboga kommun;Vissa trafikbrott;2015;Apr;6;44;
Arboga kommun;Alkohol- och narkotikabrott;2015;Apr;22;160;
Arboga kommun;Vapenbrott;2015;Apr;1;7;
Arjeplog kommun;Totalt antal brott;2015;Apr;7;242;
Arjeplog kommun;Våldsbrott ;2015;Apr;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Apr;0;0;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2015;Apr;0;0;
Arjeplog kommun;Stöldbrott;2015;Apr;1;35;
Arjeplog kommun;Bilbrott;2015;Apr;0;0;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2015;Apr;1;35;
Arjeplog kommun;Vissa trafikbrott;2015;Apr;3;104;
Arjeplog kommun;Alkohol- och narkotikabrott;2015;Apr;2;69;
Arjeplog kommun;Vapenbrott;2015;Apr;0;0;
Arvidsjaur kommun;Totalt antal brott;2015;Apr;30;463;
Arvidsjaur kommun;Våldsbrott ;2015;Apr;4;62;
