Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Aug;176;623;
Ale kommun;Våldsbrott ;2014;Aug;13;46;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Aug;23;81;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Aug;2;7;
Ale kommun;Stöldbrott;2014;Aug;96;340;
Ale kommun;Bilbrott;2014;Aug;19;67;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Aug;10;35;
Ale kommun;Vissa trafikbrott;2014;Aug;7;25;
Ale kommun;Alkohol- och narkotikabrott;2014;Aug;13;46;
Ale kommun;Vapenbrott;2014;Aug;1;4;
Alingsås kommun;Totalt antal brott;2014;Aug;319;820;
Alingsås kommun;Våldsbrott ;2014;Aug;24;62;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Aug;46;118;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Aug;1;3;
Alingsås kommun;Stöldbrott;2014;Aug;155;398;
Alingsås kommun;Bilbrott;2014;Aug;24;62;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Aug;21;54;
Alingsås kommun;Vissa trafikbrott;2014;Aug;15;39;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Aug;28;72;
Alingsås kommun;Vapenbrott;2014;Aug;2;5;
Alvesta kommun;Totalt antal brott;2014;Aug;118;609;
Alvesta kommun;Våldsbrott ;2014;Aug;11;57;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Aug;18;93;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Aug;1;5;
Alvesta kommun;Stöldbrott;2014;Aug;44;227;
Alvesta kommun;Bilbrott;2014;Aug;11;57;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Aug;22;113;
Alvesta kommun;Vissa trafikbrott;2014;Aug;3;15;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Aug;2;10;
Alvesta kommun;Vapenbrott;2014;Aug;0;0;
Aneby kommun;Totalt antal brott;2014;Aug;52;812;
Aneby kommun;Våldsbrott ;2014;Aug;6;94;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Aug;9;141;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Aug;0;0;
Aneby kommun;Stöldbrott;2014;Aug;21;328;
Aneby kommun;Bilbrott;2014;Aug;3;47;
