Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Dec;150;531;
Ale kommun;Våldsbrott ;2014;Dec;19;67;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;24;85;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;4;
Ale kommun;Stöldbrott;2014;Dec;67;237;
Ale kommun;Bilbrott;2014;Dec;19;67;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;15;53;
Ale kommun;Vissa trafikbrott;2014;Dec;2;7;
Ale kommun;Alkohol- och narkotikabrott;2014;Dec;9;32;
Ale kommun;Vapenbrott;2014;Dec;1;4;
Alingsås kommun;Totalt antal brott;2014;Dec;305;784;
Alingsås kommun;Våldsbrott ;2014;Dec;36;93;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;45;116;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Dec;3;8;
Alingsås kommun;Stöldbrott;2014;Dec;76;195;
Alingsås kommun;Bilbrott;2014;Dec;20;51;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;19;49;
Alingsås kommun;Vissa trafikbrott;2014;Dec;20;51;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Dec;53;136;
Alingsås kommun;Vapenbrott;2014;Dec;7;18;
Alvesta kommun;Totalt antal brott;2014;Dec;139;717;
Alvesta kommun;Våldsbrott ;2014;Dec;5;26;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;22;113;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Alvesta kommun;Stöldbrott;2014;Dec;54;278;
Alvesta kommun;Bilbrott;2014;Dec;23;119;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;27;139;
Alvesta kommun;Vissa trafikbrott;2014;Dec;6;31;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Dec;19;98;
Alvesta kommun;Vapenbrott;2014;Dec;1;5;
Aneby kommun;Totalt antal brott;2014;Dec;36;562;
Aneby kommun;Våldsbrott ;2014;Dec;0;0;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;8;125;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;16;
Aneby kommun;Stöldbrott;2014;Dec;18;281;
Aneby kommun;Bilbrott;2014;Dec;1;16;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;1;16;
Aneby kommun;Vissa trafikbrott;2014;Dec;1;16;
Aneby kommun;Alkohol- och narkotikabrott;2014;Dec;3;47;
Aneby kommun;Vapenbrott;2014;Dec;0;0;
Arboga kommun;Totalt antal brott;2014;Dec;87;641;
Arboga kommun;Våldsbrott ;2014;Dec;3;22;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;18;133;
Arboga kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;7;
Arboga kommun;Stöldbrott;2014;Dec;33;243;
Arboga kommun;Bilbrott;2014;Dec;7;52;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;5;37;
Arboga kommun;Vissa trafikbrott;2014;Dec;13;96;
Arboga kommun;Alkohol- och narkotikabrott;2014;Dec;9;66;
Arboga kommun;Vapenbrott;2014;Dec;1;7;
Arjeplog kommun;Totalt antal brott;2014;Dec;13;442;
Arjeplog kommun;Våldsbrott ;2014;Dec;6;204;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;3;102;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Arjeplog kommun;Stöldbrott;2014;Dec;2;68;
Arjeplog kommun;Bilbrott;2014;Dec;0;0;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;1;34;
Arjeplog kommun;Vissa trafikbrott;2014;Dec;2;68;
Arjeplog kommun;Alkohol- och narkotikabrott;2014;Dec;0;0;
Arjeplog kommun;Vapenbrott;2014;Dec;0;0;
Arvidsjaur kommun;Totalt antal brott;2014;Dec;39;602;
Arvidsjaur kommun;Våldsbrott ;2014;Dec;3;46;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;8;124;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Arvidsjaur kommun;Stöldbrott;2014;Dec;12;185;
Arvidsjaur kommun;Bilbrott;2014;Dec;2;31;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;5;77;
Arvidsjaur kommun;Vissa trafikbrott;2014;Dec;2;31;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2014;Dec;5;77;
Arvidsjaur kommun;Vapenbrott;2014;Dec;0;0;
Arvika kommun;Totalt antal brott;2014;Dec;214;830;
Arvika kommun;Våldsbrott ;2014;Dec;22;85;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;38;147;
Arvika kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;4;
Arvika kommun;Stöldbrott;2014;Dec;51;198;
Arvika kommun;Bilbrott;2014;Dec;19;74;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;13;50;
Arvika kommun;Vissa trafikbrott;2014;Dec;29;112;
Arvika kommun;Alkohol- och narkotikabrott;2014;Dec;46;178;
Arvika kommun;Vapenbrott;2014;Dec;3;12;
Askersund kommun;Totalt antal brott;2014;Dec;88;792;
Askersund kommun;Våldsbrott ;2014;Dec;12;108;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;22;198;
Askersund kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Askersund kommun;Stöldbrott;2014;Dec;27;243;
Askersund kommun;Bilbrott;2014;Dec;3;27;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;7;63;
Askersund kommun;Vissa trafikbrott;2014;Dec;8;72;
Askersund kommun;Alkohol- och narkotikabrott;2014;Dec;10;90;
Askersund kommun;Vapenbrott;2014;Dec;0;0;
Avesta kommun;Totalt antal brott;2014;Dec;113;518;
Avesta kommun;Våldsbrott ;2014;Dec;19;87;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;26;119;
Avesta kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;5;
Avesta kommun;Stöldbrott;2014;Dec;35;161;
Avesta kommun;Bilbrott;2014;Dec;8;37;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;12;55;
Avesta kommun;Vissa trafikbrott;2014;Dec;0;0;
Avesta kommun;Alkohol- och narkotikabrott;2014;Dec;4;18;
Avesta kommun;Vapenbrott;2014;Dec;2;9;
Bengtsfors kommun;Totalt antal brott;2014;Dec;53;555;
Bengtsfors kommun;Våldsbrott ;2014;Dec;8;84;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;9;94;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Bengtsfors kommun;Stöldbrott;2014;Dec;15;157;
Bengtsfors kommun;Bilbrott;2014;Dec;2;21;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;1;10;
Bengtsfors kommun;Vissa trafikbrott;2014;Dec;15;157;
Bengtsfors kommun;Alkohol- och narkotikabrott;2014;Dec;9;94;
Bengtsfors kommun;Vapenbrott;2014;Dec;0;0;
Berg kommun;Totalt antal brott;2014;Dec;30;422;
Berg kommun;Våldsbrott ;2014;Dec;3;42;
Berg kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;10;141;
Berg kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Berg kommun;Stöldbrott;2014;Dec;6;84;
Berg kommun;Bilbrott;2014;Dec;1;14;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;1;14;
Berg kommun;Vissa trafikbrott;2014;Dec;3;42;
Berg kommun;Alkohol- och narkotikabrott;2014;Dec;0;0;
Berg kommun;Vapenbrott;2014;Dec;1;14;
Bjurholm kommun;Totalt antal brott;2014;Dec;28;1146;
Bjurholm kommun;Våldsbrott ;2014;Dec;6;246;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;8;327;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Bjurholm kommun;Stöldbrott;2014;Dec;4;164;
Bjurholm kommun;Bilbrott;2014;Dec;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;2;82;
Bjurholm kommun;Vissa trafikbrott;2014;Dec;3;123;
Bjurholm kommun;Alkohol- och narkotikabrott;2014;Dec;1;41;
Bjurholm kommun;Vapenbrott;2014;Dec;0;0;
Bjuv kommun;Totalt antal brott;2014;Dec;222;1495;
Bjuv kommun;Våldsbrott ;2014;Dec;28;189;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;23;155;
Bjuv kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;7;
Bjuv kommun;Stöldbrott;2014;Dec;51;343;
Bjuv kommun;Bilbrott;2014;Dec;15;101;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;10;67;
Bjuv kommun;Vissa trafikbrott;2014;Dec;11;74;
Bjuv kommun;Alkohol- och narkotikabrott;2014;Dec;57;384;
Bjuv kommun;Vapenbrott;2014;Dec;3;20;
Boden kommun;Totalt antal brott;2014;Dec;175;628;
Boden kommun;Våldsbrott ;2014;Dec;18;65;
Boden kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;48;172;
Boden kommun;Vårdslöshet- och vållandebrott;2014;Dec;1;4;
Boden kommun;Stöldbrott;2014;Dec;60;215;
Boden kommun;Bilbrott;2014;Dec;12;43;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;14;50;
Boden kommun;Vissa trafikbrott;2014;Dec;7;25;
Boden kommun;Alkohol- och narkotikabrott;2014;Dec;17;61;
Boden kommun;Vapenbrott;2014;Dec;1;4;
Bollebygd kommun;Totalt antal brott;2014;Dec;45;523;
Bollebygd kommun;Våldsbrott ;2014;Dec;1;12;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;6;70;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Bollebygd kommun;Stöldbrott;2014;Dec;18;209;
Bollebygd kommun;Bilbrott;2014;Dec;3;35;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;1;12;
Bollebygd kommun;Vissa trafikbrott;2014;Dec;5;58;
Bollebygd kommun;Alkohol- och narkotikabrott;2014;Dec;6;70;
Bollebygd kommun;Vapenbrott;2014;Dec;5;58;
Bollnäs kommun;Totalt antal brott;2014;Dec;201;765;
Bollnäs kommun;Våldsbrott ;2014;Dec;29;110;
Bollnäs kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;30;114;
Bollnäs kommun;Vårdslöshet- och vållandebrott;2014;Dec;2;8;
Bollnäs kommun;Stöldbrott;2014;Dec;71;270;
Bollnäs kommun;Bilbrott;2014;Dec;6;23;
Bollnäs kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;10;38;
Bollnäs kommun;Vissa trafikbrott;2014;Dec;20;76;
Bollnäs kommun;Alkohol- och narkotikabrott;2014;Dec;26;99;
Bollnäs kommun;Vapenbrott;2014;Dec;2;8;
Borgholm kommun;Totalt antal brott;2014;Dec;27;254;
Borgholm kommun;Våldsbrott ;2014;Dec;3;28;
Borgholm kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;5;47;
Borgholm kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Borgholm kommun;Stöldbrott;2014;Dec;5;47;
Borgholm kommun;Bilbrott;2014;Dec;1;9;
Borgholm kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;4;38;
Borgholm kommun;Vissa trafikbrott;2014;Dec;5;47;
Borgholm kommun;Alkohol- och narkotikabrott;2014;Dec;7;66;
Borgholm kommun;Vapenbrott;2014;Dec;0;0;
Borlänge kommun;Totalt antal brott;2014;Dec;401;796;
Borlänge kommun;Våldsbrott ;2014;Dec;33;66;
Borlänge kommun;Hot-, kränknings- och frihetsbrott;2014;Dec;53;105;
Borlänge kommun;Vårdslöshet- och vållandebrott;2014;Dec;0;0;
Borlänge kommun;Stöldbrott;2014;Dec;164;326;
Borlänge kommun;Bilbrott;2014;Dec;31;62;
Borlänge kommun;Skadegörelsebrott (inkl. mordbrand);2014;Dec;42;83;
Borlänge kommun;Vissa trafikbrott;2014;Dec;12;24;
