Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Feb;162;566;
Ale kommun;Våldsbrott ;2015;Feb;8;28;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;21;73;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;3;
Ale kommun;Stöldbrott;2015;Feb;62;216;
Ale kommun;Bilbrott;2015;Feb;22;77;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;38;133;
Ale kommun;Vissa trafikbrott;2015;Feb;10;35;
Ale kommun;Alkohol- och narkotikabrott;2015;Feb;3;10;
Ale kommun;Vapenbrott;2015;Feb;2;7;
Alingsås kommun;Totalt antal brott;2015;Feb;328;833;
Alingsås kommun;Våldsbrott ;2015;Feb;18;46;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;49;124;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;3;
Alingsås kommun;Stöldbrott;2015;Feb;110;279;
Alingsås kommun;Bilbrott;2015;Feb;19;48;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;17;43;
Alingsås kommun;Vissa trafikbrott;2015;Feb;43;109;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Feb;63;160;
Alingsås kommun;Vapenbrott;2015;Feb;8;20;
Alvesta kommun;Totalt antal brott;2015;Feb;118;604;
Alvesta kommun;Våldsbrott ;2015;Feb;9;46;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;20;102;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Alvesta kommun;Stöldbrott;2015;Feb;39;200;
Alvesta kommun;Bilbrott;2015;Feb;22;113;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;12;61;
Alvesta kommun;Vissa trafikbrott;2015;Feb;7;36;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Feb;13;67;
Alvesta kommun;Vapenbrott;2015;Feb;3;15;
Aneby kommun;Totalt antal brott;2015;Feb;30;463;
Aneby kommun;Våldsbrott ;2015;Feb;1;15;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;7;108;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Aneby kommun;Stöldbrott;2015;Feb;8;123;
Aneby kommun;Bilbrott;2015;Feb;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;1;15;
Aneby kommun;Vissa trafikbrott;2015;Feb;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2015;Feb;3;46;
Aneby kommun;Vapenbrott;2015;Feb;0;0;
Arboga kommun;Totalt antal brott;2015;Feb;95;691;
Arboga kommun;Våldsbrott ;2015;Feb;13;95;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;22;160;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Arboga kommun;Stöldbrott;2015;Feb;37;269;
Arboga kommun;Bilbrott;2015;Feb;8;58;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;5;36;
Arboga kommun;Vissa trafikbrott;2015;Feb;9;65;
Arboga kommun;Alkohol- och narkotikabrott;2015;Feb;6;44;
Arboga kommun;Vapenbrott;2015;Feb;0;0;
Arjeplog kommun;Totalt antal brott;2015;Feb;11;380;
Arjeplog kommun;Våldsbrott ;2015;Feb;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;3;104;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Arjeplog kommun;Stöldbrott;2015;Feb;5;173;
Arjeplog kommun;Bilbrott;2015;Feb;3;104;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;0;0;
Arjeplog kommun;Vissa trafikbrott;2015;Feb;1;35;
Arjeplog kommun;Alkohol- och narkotikabrott;2015;Feb;0;0;
Arjeplog kommun;Vapenbrott;2015;Feb;0;0;
Arvidsjaur kommun;Totalt antal brott;2015;Feb;48;741;
Arvidsjaur kommun;Våldsbrott ;2015;Feb;1;15;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;5;77;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;15;
Arvidsjaur kommun;Stöldbrott;2015;Feb;22;340;
Arvidsjaur kommun;Bilbrott;2015;Feb;4;62;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;1;15;
Arvidsjaur kommun;Vissa trafikbrott;2015;Feb;5;77;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2015;Feb;4;62;
Arvidsjaur kommun;Vapenbrott;2015;Feb;1;15;
Arvika kommun;Totalt antal brott;2015;Feb;142;550;
Arvika kommun;Våldsbrott ;2015;Feb;14;54;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;23;89;
Arvika kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;4;
Arvika kommun;Stöldbrott;2015;Feb;54;209;
Arvika kommun;Bilbrott;2015;Feb;11;43;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;13;50;
Arvika kommun;Vissa trafikbrott;2015;Feb;3;12;
Arvika kommun;Alkohol- och narkotikabrott;2015;Feb;18;70;
Arvika kommun;Vapenbrott;2015;Feb;1;4;
Askersund kommun;Totalt antal brott;2015;Feb;44;395;
Askersund kommun;Våldsbrott ;2015;Feb;2;18;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;4;36;
Askersund kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;9;
Askersund kommun;Stöldbrott;2015;Feb;15;135;
Askersund kommun;Bilbrott;2015;Feb;2;18;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;8;72;
Askersund kommun;Vissa trafikbrott;2015;Feb;6;54;
Askersund kommun;Alkohol- och narkotikabrott;2015;Feb;8;72;
Askersund kommun;Vapenbrott;2015;Feb;0;0;
Avesta kommun;Totalt antal brott;2015;Feb;112;500;
Avesta kommun;Våldsbrott ;2015;Feb;24;107;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;21;94;
Avesta kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Avesta kommun;Stöldbrott;2015;Feb;38;170;
Avesta kommun;Bilbrott;2015;Feb;5;22;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;5;22;
Avesta kommun;Vissa trafikbrott;2015;Feb;8;36;
Avesta kommun;Alkohol- och narkotikabrott;2015;Feb;7;31;
Avesta kommun;Vapenbrott;2015;Feb;0;0;
Bengtsfors kommun;Totalt antal brott;2015;Feb;59;615;
Bengtsfors kommun;Våldsbrott ;2015;Feb;4;42;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;10;104;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;10;
Bengtsfors kommun;Stöldbrott;2015;Feb;17;177;
Bengtsfors kommun;Bilbrott;2015;Feb;1;10;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;3;31;
Bengtsfors kommun;Vissa trafikbrott;2015;Feb;8;83;
Bengtsfors kommun;Alkohol- och narkotikabrott;2015;Feb;8;83;
Bengtsfors kommun;Vapenbrott;2015;Feb;1;10;
Berg kommun;Totalt antal brott;2015;Feb;35;496;
Berg kommun;Våldsbrott ;2015;Feb;2;28;
Berg kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;8;113;
Berg kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;14;
Berg kommun;Stöldbrott;2015;Feb;4;57;
Berg kommun;Bilbrott;2015;Feb;0;0;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;2;28;
Berg kommun;Vissa trafikbrott;2015;Feb;7;99;
Berg kommun;Alkohol- och narkotikabrott;2015;Feb;4;57;
Berg kommun;Vapenbrott;2015;Feb;0;0;
Bjurholm kommun;Totalt antal brott;2015;Feb;10;408;
Bjurholm kommun;Våldsbrott ;2015;Feb;2;82;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;1;41;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Bjurholm kommun;Stöldbrott;2015;Feb;1;41;
Bjurholm kommun;Bilbrott;2015;Feb;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;1;41;
Bjurholm kommun;Vissa trafikbrott;2015;Feb;2;82;
Bjurholm kommun;Alkohol- och narkotikabrott;2015;Feb;2;82;
Bjurholm kommun;Vapenbrott;2015;Feb;1;41;
Bjuv kommun;Totalt antal brott;2015;Feb;141;945;
Bjuv kommun;Våldsbrott ;2015;Feb;10;67;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;26;174;
Bjuv kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Bjuv kommun;Stöldbrott;2015;Feb;51;342;
Bjuv kommun;Bilbrott;2015;Feb;17;114;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;7;47;
Bjuv kommun;Vissa trafikbrott;2015;Feb;14;94;
Bjuv kommun;Alkohol- och narkotikabrott;2015;Feb;19;127;
Bjuv kommun;Vapenbrott;2015;Feb;1;7;
Boden kommun;Totalt antal brott;2015;Feb;228;817;
Boden kommun;Våldsbrott ;2015;Feb;20;72;
Boden kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;33;118;
Boden kommun;Vårdslöshet- och vållandebrott;2015;Feb;1;4;
Boden kommun;Stöldbrott;2015;Feb;66;237;
Boden kommun;Bilbrott;2015;Feb;17;61;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;19;68;
Boden kommun;Vissa trafikbrott;2015;Feb;27;97;
Boden kommun;Alkohol- och narkotikabrott;2015;Feb;42;151;
Boden kommun;Vapenbrott;2015;Feb;18;65;
Bollebygd kommun;Totalt antal brott;2015;Feb;35;401;
Bollebygd kommun;Våldsbrott ;2015;Feb;1;11;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2015;Feb;10;115;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2015;Feb;0;0;
Bollebygd kommun;Stöldbrott;2015;Feb;13;149;
Bollebygd kommun;Bilbrott;2015;Feb;0;0;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2015;Feb;0;0;
Bollebygd kommun;Vissa trafikbrott;2015;Feb;5;57;
Bollebygd kommun;Alkohol- och narkotikabrott;2015;Feb;7;80;
Bollebygd kommun;Vapenbrott;2015;Feb;0;0;
Bollnäs kommun;Totalt antal brott;2015;Feb;194;732;
Bollnäs kommun;Våldsbrott ;2015;Feb;17;64;
