Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Jan;185;641;
Ale kommun;Våldsbrott ;2016 prel.;Jan;19;66;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;24;83;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Ale kommun;Stöldbrott;2016 prel.;Jan;82;284;
Ale kommun;Bilbrott;2016 prel.;Jan;37;128;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;25;87;
Ale kommun;Vissa trafikbrott;2016 prel.;Jan;7;24;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;11;38;
Ale kommun;Vapenbrott;2016 prel.;Jan;1;3;
Alingsås kommun;Totalt antal brott;2016 prel.;Jan;302;763;
Alingsås kommun;Våldsbrott ;2016 prel.;Jan;36;91;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;27;68;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Alingsås kommun;Stöldbrott;2016 prel.;Jan;100;253;
Alingsås kommun;Bilbrott;2016 prel.;Jan;23;58;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;28;71;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Jan;26;66;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;42;106;
Alingsås kommun;Vapenbrott;2016 prel.;Jan;5;13;
Alvesta kommun;Totalt antal brott;2016 prel.;Jan;109;557;
Alvesta kommun;Våldsbrott ;2016 prel.;Jan;17;87;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;17;87;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Alvesta kommun;Stöldbrott;2016 prel.;Jan;30;153;
Alvesta kommun;Bilbrott;2016 prel.;Jan;5;26;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;20;102;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Jan;6;31;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;3;15;
Alvesta kommun;Vapenbrott;2016 prel.;Jan;1;5;
Aneby kommun;Totalt antal brott;2016 prel.;Jan;43;658;
Aneby kommun;Våldsbrott ;2016 prel.;Jan;10;153;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;11;168;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Jan;13;199;
Aneby kommun;Bilbrott;2016 prel.;Jan;0;0;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;0;0;
Aneby kommun;Vissa trafikbrott;2016 prel.;Jan;1;15;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;2;31;
Aneby kommun;Vapenbrott;2016 prel.;Jan;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Jan;74;534;
Arboga kommun;Våldsbrott ;2016 prel.;Jan;5;36;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;12;87;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;7;
Arboga kommun;Stöldbrott;2016 prel.;Jan;20;144;
Arboga kommun;Bilbrott;2016 prel.;Jan;3;22;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;2;14;
Arboga kommun;Vissa trafikbrott;2016 prel.;Jan;10;72;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;22;159;
Arboga kommun;Vapenbrott;2016 prel.;Jan;1;7;
Arjeplog kommun;Totalt antal brott;2016 prel.;Jan;18;623;
Arjeplog kommun;Våldsbrott ;2016 prel.;Jan;1;35;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;5;173;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;35;
Arjeplog kommun;Stöldbrott;2016 prel.;Jan;5;173;
Arjeplog kommun;Bilbrott;2016 prel.;Jan;2;69;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;0;0;
Arjeplog kommun;Vissa trafikbrott;2016 prel.;Jan;1;35;
Arjeplog kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;2;69;
Arjeplog kommun;Vapenbrott;2016 prel.;Jan;0;0;
Arvidsjaur kommun;Totalt antal brott;2016 prel.;Jan;29;448;
Arvidsjaur kommun;Våldsbrott ;2016 prel.;Jan;8;124;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;3;46;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;2;31;
Arvidsjaur kommun;Stöldbrott;2016 prel.;Jan;2;31;
Arvidsjaur kommun;Bilbrott;2016 prel.;Jan;0;0;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2016 prel.;Jan;1;15;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;6;93;
Arvidsjaur kommun;Vapenbrott;2016 prel.;Jan;0;0;
Arvika kommun;Totalt antal brott;2016 prel.;Jan;233;902;
Arvika kommun;Våldsbrott ;2016 prel.;Jan;14;54;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;25;97;
Arvika kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;4;15;
Arvika kommun;Stöldbrott;2016 prel.;Jan;45;174;
Arvika kommun;Bilbrott;2016 prel.;Jan;9;35;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;15;58;
Arvika kommun;Vissa trafikbrott;2016 prel.;Jan;35;135;
Arvika kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;93;360;
Arvika kommun;Vapenbrott;2016 prel.;Jan;2;8;
Askersund kommun;Totalt antal brott;2016 prel.;Jan;83;744;
Askersund kommun;Våldsbrott ;2016 prel.;Jan;7;63;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;14;126;
Askersund kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Askersund kommun;Stöldbrott;2016 prel.;Jan;10;90;
Askersund kommun;Bilbrott;2016 prel.;Jan;1;9;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;6;54;
