Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Jul;150;520;
Ale kommun;Våldsbrott ;2016 prel.;Jul;11;38;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;26;90;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Ale kommun;Stöldbrott;2016 prel.;Jul;57;197;
Ale kommun;Bilbrott;2016 prel.;Jul;14;49;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;15;52;
Ale kommun;Vissa trafikbrott;2016 prel.;Jul;10;35;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;9;31;
Ale kommun;Vapenbrott;2016 prel.;Jul;2;7;
Alingsås kommun;Totalt antal brott;2016 prel.;Jul;300;758;
Alingsås kommun;Våldsbrott ;2016 prel.;Jul;29;73;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;48;121;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;2;5;
Alingsås kommun;Stöldbrott;2016 prel.;Jul;92;232;
Alingsås kommun;Bilbrott;2016 prel.;Jul;23;58;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;28;71;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Jul;26;66;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;43;109;
Alingsås kommun;Vapenbrott;2016 prel.;Jul;10;25;
Alvesta kommun;Totalt antal brott;2016 prel.;Jul;122;623;
Alvesta kommun;Våldsbrott ;2016 prel.;Jul;14;71;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;20;102;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Alvesta kommun;Stöldbrott;2016 prel.;Jul;44;225;
Alvesta kommun;Bilbrott;2016 prel.;Jul;9;46;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;13;66;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Jul;5;26;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;9;46;
Alvesta kommun;Vapenbrott;2016 prel.;Jul;2;10;
Aneby kommun;Totalt antal brott;2016 prel.;Jul;49;750;
Aneby kommun;Våldsbrott ;2016 prel.;Jul;5;76;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;16;245;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Jul;14;214;
Aneby kommun;Bilbrott;2016 prel.;Jul;1;15;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;5;76;
Aneby kommun;Vissa trafikbrott;2016 prel.;Jul;6;92;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;6;92;
Aneby kommun;Vapenbrott;2016 prel.;Jul;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Jul;91;657;
Arboga kommun;Våldsbrott ;2016 prel.;Jul;4;29;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;15;108;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;1;7;
Arboga kommun;Stöldbrott;2016 prel.;Jul;49;354;
Arboga kommun;Bilbrott;2016 prel.;Jul;10;72;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;8;58;
Arboga kommun;Vissa trafikbrott;2016 prel.;Jul;3;22;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;0;0;
Arboga kommun;Vapenbrott;2016 prel.;Jul;0;0;
Arjeplog kommun;Totalt antal brott;2016 prel.;Jul;23;797;
Arjeplog kommun;Våldsbrott ;2016 prel.;Jul;2;69;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;3;104;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Arjeplog kommun;Stöldbrott;2016 prel.;Jul;13;450;
Arjeplog kommun;Bilbrott;2016 prel.;Jul;2;69;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;0;0;
Arjeplog kommun;Vissa trafikbrott;2016 prel.;Jul;1;35;
Arjeplog kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;1;35;
Arjeplog kommun;Vapenbrott;2016 prel.;Jul;2;69;
Arvidsjaur kommun;Totalt antal brott;2016 prel.;Jul;48;742;
Arvidsjaur kommun;Våldsbrott ;2016 prel.;Jul;2;31;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;4;62;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Arvidsjaur kommun;Stöldbrott;2016 prel.;Jul;25;386;
Arvidsjaur kommun;Bilbrott;2016 prel.;Jul;6;93;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;4;62;
Arvidsjaur kommun;Vissa trafikbrott;2016 prel.;Jul;3;46;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;1;15;
Arvidsjaur kommun;Vapenbrott;2016 prel.;Jul;0;0;
Arvika kommun;Totalt antal brott;2016 prel.;Jul;231;894;
Arvika kommun;Våldsbrott ;2016 prel.;Jul;18;70;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;17;66;
Arvika kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;1;4;
Arvika kommun;Stöldbrott;2016 prel.;Jul;83;321;
Arvika kommun;Bilbrott;2016 prel.;Jul;17;66;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;22;85;
Arvika kommun;Vissa trafikbrott;2016 prel.;Jul;25;97;
Arvika kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;42;163;
Arvika kommun;Vapenbrott;2016 prel.;Jul;1;4;
Askersund kommun;Totalt antal brott;2016 prel.;Jul;97;870;
Askersund kommun;Våldsbrott ;2016 prel.;Jul;15;135;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;21;188;
Askersund kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;1;9;
Askersund kommun;Stöldbrott;2016 prel.;Jul;21;188;
Askersund kommun;Bilbrott;2016 prel.;Jul;3;27;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;9;81;
Askersund kommun;Vissa trafikbrott;2016 prel.;Jul;11;99;
Askersund kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;12;108;
Askersund kommun;Vapenbrott;2016 prel.;Jul;0;0;
Avesta kommun;Totalt antal brott;2016 prel.;Jul;198;869;
Avesta kommun;Våldsbrott ;2016 prel.;Jul;21;92;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;28;123;
Avesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Avesta kommun;Stöldbrott;2016 prel.;Jul;72;316;
Avesta kommun;Bilbrott;2016 prel.;Jul;16;70;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;20;88;
Avesta kommun;Vissa trafikbrott;2016 prel.;Jul;23;101;
Avesta kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;15;66;
Avesta kommun;Vapenbrott;2016 prel.;Jul;2;9;
Bengtsfors kommun;Totalt antal brott;2016 prel.;Jul;64;665;
Bengtsfors kommun;Våldsbrott ;2016 prel.;Jul;12;125;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;15;156;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;2;21;
Bengtsfors kommun;Stöldbrott;2016 prel.;Jul;15;156;
Bengtsfors kommun;Bilbrott;2016 prel.;Jul;5;52;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;6;62;
Bengtsfors kommun;Vissa trafikbrott;2016 prel.;Jul;5;52;
Bengtsfors kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;4;42;
Bengtsfors kommun;Vapenbrott;2016 prel.;Jul;0;0;
Berg kommun;Totalt antal brott;2016 prel.;Jul;37;526;
Berg kommun;Våldsbrott ;2016 prel.;Jul;2;28;
Berg kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;10;142;
Berg kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Berg kommun;Stöldbrott;2016 prel.;Jul;10;142;
Berg kommun;Bilbrott;2016 prel.;Jul;3;43;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;4;57;
Berg kommun;Vissa trafikbrott;2016 prel.;Jul;5;71;
Berg kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;2;28;
Berg kommun;Vapenbrott;2016 prel.;Jul;2;28;
Bjurholm kommun;Totalt antal brott;2016 prel.;Jul;12;489;
Bjurholm kommun;Våldsbrott ;2016 prel.;Jul;0;0;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;3;122;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;0;0;
Bjurholm kommun;Stöldbrott;2016 prel.;Jul;2;82;
Bjurholm kommun;Bilbrott;2016 prel.;Jul;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;0;0;
Bjurholm kommun;Vissa trafikbrott;2016 prel.;Jul;2;82;
Bjurholm kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;2;82;
Bjurholm kommun;Vapenbrott;2016 prel.;Jul;0;0;
Bjuv kommun;Totalt antal brott;2016 prel.;Jul;125;835;
Bjuv kommun;Våldsbrott ;2016 prel.;Jul;18;120;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;34;227;
Bjuv kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;1;7;
Bjuv kommun;Stöldbrott;2016 prel.;Jul;40;267;
Bjuv kommun;Bilbrott;2016 prel.;Jul;8;53;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;13;87;
Bjuv kommun;Vissa trafikbrott;2016 prel.;Jul;2;13;
Bjuv kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;4;27;
Bjuv kommun;Vapenbrott;2016 prel.;Jul;1;7;
Boden kommun;Totalt antal brott;2016 prel.;Jul;235;842;
Boden kommun;Våldsbrott ;2016 prel.;Jul;30;107;
Boden kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jul;34;122;
Boden kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jul;1;4;
Boden kommun;Stöldbrott;2016 prel.;Jul;72;258;
Boden kommun;Bilbrott;2016 prel.;Jul;10;36;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jul;28;100;
Boden kommun;Vissa trafikbrott;2016 prel.;Jul;14;50;
Boden kommun;Alkohol- och narkotikabrott;2016 prel.;Jul;19;68;
Boden kommun;Vapenbrott;2016 prel.;Jul;0;0;
Bollebygd kommun;Totalt antal brott;2016 prel.;Jul;29;330;
