Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Jun;249;881;
Ale kommun;Våldsbrott ;2014;Jun;14;50;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;31;110;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Jun;3;11;
Ale kommun;Stöldbrott;2014;Jun;123;435;
Ale kommun;Bilbrott;2014;Jun;30;106;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;34;120;
Ale kommun;Vissa trafikbrott;2014;Jun;12;42;
Ale kommun;Alkohol- och narkotikabrott;2014;Jun;11;39;
Ale kommun;Vapenbrott;2014;Jun;2;7;
Alingsås kommun;Totalt antal brott;2014;Jun;336;864;
Alingsås kommun;Våldsbrott ;2014;Jun;22;57;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;43;111;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Jun;4;10;
Alingsås kommun;Stöldbrott;2014;Jun;150;386;
Alingsås kommun;Bilbrott;2014;Jun;24;62;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;23;59;
Alingsås kommun;Vissa trafikbrott;2014;Jun;22;57;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Jun;32;82;
Alingsås kommun;Vapenbrott;2014;Jun;6;15;
Alvesta kommun;Totalt antal brott;2014;Jun;135;696;
Alvesta kommun;Våldsbrott ;2014;Jun;12;62;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;23;119;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Jun;2;10;
Alvesta kommun;Stöldbrott;2014;Jun;60;309;
Alvesta kommun;Bilbrott;2014;Jun;19;98;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;26;134;
Alvesta kommun;Vissa trafikbrott;2014;Jun;3;15;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Jun;5;26;
Alvesta kommun;Vapenbrott;2014;Jun;0;0;
Aneby kommun;Totalt antal brott;2014;Jun;25;391;
Aneby kommun;Våldsbrott ;2014;Jun;3;47;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;2;31;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Jun;1;16;
Aneby kommun;Stöldbrott;2014;Jun;12;187;
Aneby kommun;Bilbrott;2014;Jun;1;16;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;2;31;
Aneby kommun;Vissa trafikbrott;2014;Jun;1;16;
Aneby kommun;Alkohol- och narkotikabrott;2014;Jun;0;0;
Aneby kommun;Vapenbrott;2014;Jun;0;0;
Arboga kommun;Totalt antal brott;2014;Jun;152;1121;
Arboga kommun;Våldsbrott ;2014;Jun;21;155;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;17;125;
Arboga kommun;Vårdslöshet- och vållandebrott;2014;Jun;1;7;
Arboga kommun;Stöldbrott;2014;Jun;63;465;
Arboga kommun;Bilbrott;2014;Jun;13;96;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;21;155;
Arboga kommun;Vissa trafikbrott;2014;Jun;15;111;
Arboga kommun;Alkohol- och narkotikabrott;2014;Jun;10;74;
Arboga kommun;Vapenbrott;2014;Jun;0;0;
Arjeplog kommun;Totalt antal brott;2014;Jun;34;1155;
Arjeplog kommun;Våldsbrott ;2014;Jun;1;34;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;4;136;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2014;Jun;3;102;
Arjeplog kommun;Stöldbrott;2014;Jun;4;136;
Arjeplog kommun;Bilbrott;2014;Jun;1;34;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;4;136;
Arjeplog kommun;Vissa trafikbrott;2014;Jun;3;102;
Arjeplog kommun;Alkohol- och narkotikabrott;2014;Jun;5;170;
Arjeplog kommun;Vapenbrott;2014;Jun;0;0;
Arvidsjaur kommun;Totalt antal brott;2014;Jun;28;432;
Arvidsjaur kommun;Våldsbrott ;2014;Jun;1;15;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;5;77;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2014;Jun;1;15;
Arvidsjaur kommun;Stöldbrott;2014;Jun;13;201;
Arvidsjaur kommun;Bilbrott;2014;Jun;4;62;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2014;Jun;3;46;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2014;Jun;2;31;
Arvidsjaur kommun;Vapenbrott;2014;Jun;0;0;
Arvika kommun;Totalt antal brott;2014;Jun;216;837;
Arvika kommun;Våldsbrott ;2014;Jun;13;50;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;17;66;
Arvika kommun;Vårdslöshet- och vållandebrott;2014;Jun;3;12;
Arvika kommun;Stöldbrott;2014;Jun;69;268;
Arvika kommun;Bilbrott;2014;Jun;16;62;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;24;93;
Arvika kommun;Vissa trafikbrott;2014;Jun;24;93;
Arvika kommun;Alkohol- och narkotikabrott;2014;Jun;57;221;
Arvika kommun;Vapenbrott;2014;Jun;3;12;
Askersund kommun;Totalt antal brott;2014;Jun;87;783;
Askersund kommun;Våldsbrott ;2014;Jun;4;36;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;7;63;
Askersund kommun;Vårdslöshet- och vållandebrott;2014;Jun;3;27;
Askersund kommun;Stöldbrott;2014;Jun;22;198;
Askersund kommun;Bilbrott;2014;Jun;8;72;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;11;99;
Askersund kommun;Vissa trafikbrott;2014;Jun;12;108;
Askersund kommun;Alkohol- och narkotikabrott;2014;Jun;29;261;
Askersund kommun;Vapenbrott;2014;Jun;0;0;
Avesta kommun;Totalt antal brott;2014;Jun;190;871;
Avesta kommun;Våldsbrott ;2014;Jun;31;142;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;25;115;
Avesta kommun;Vårdslöshet- och vållandebrott;2014;Jun;0;0;
Avesta kommun;Stöldbrott;2014;Jun;76;349;
Avesta kommun;Bilbrott;2014;Jun;22;101;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;21;96;
Avesta kommun;Vissa trafikbrott;2014;Jun;8;37;
Avesta kommun;Alkohol- och narkotikabrott;2014;Jun;11;50;
Avesta kommun;Vapenbrott;2014;Jun;1;5;
Bengtsfors kommun;Totalt antal brott;2014;Jun;66;691;
Bengtsfors kommun;Våldsbrott ;2014;Jun;3;31;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;18;188;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2014;Jun;2;21;
Bengtsfors kommun;Stöldbrott;2014;Jun;22;230;
Bengtsfors kommun;Bilbrott;2014;Jun;6;63;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;6;63;
Bengtsfors kommun;Vissa trafikbrott;2014;Jun;8;84;
Bengtsfors kommun;Alkohol- och narkotikabrott;2014;Jun;3;31;
Bengtsfors kommun;Vapenbrott;2014;Jun;0;0;
Berg kommun;Totalt antal brott;2014;Jun;39;548;
Berg kommun;Våldsbrott ;2014;Jun;5;70;
Berg kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;2;28;
Berg kommun;Vårdslöshet- och vållandebrott;2014;Jun;0;0;
Berg kommun;Stöldbrott;2014;Jun;14;197;
Berg kommun;Bilbrott;2014;Jun;2;28;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;4;56;
Berg kommun;Vissa trafikbrott;2014;Jun;4;56;
Berg kommun;Alkohol- och narkotikabrott;2014;Jun;1;14;
Berg kommun;Vapenbrott;2014;Jun;0;0;
Bjurholm kommun;Totalt antal brott;2014;Jun;10;409;
Bjurholm kommun;Våldsbrott ;2014;Jun;0;0;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;1;41;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2014;Jun;0;0;
Bjurholm kommun;Stöldbrott;2014;Jun;3;123;
Bjurholm kommun;Bilbrott;2014;Jun;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;0;0;
Bjurholm kommun;Vissa trafikbrott;2014;Jun;1;41;
Bjurholm kommun;Alkohol- och narkotikabrott;2014;Jun;4;164;
Bjurholm kommun;Vapenbrott;2014;Jun;0;0;
Bjuv kommun;Totalt antal brott;2014;Jun;231;1556;
Bjuv kommun;Våldsbrott ;2014;Jun;14;94;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;35;236;
Bjuv kommun;Vårdslöshet- och vållandebrott;2014;Jun;1;7;
Bjuv kommun;Stöldbrott;2014;Jun;91;613;
Bjuv kommun;Bilbrott;2014;Jun;23;155;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;18;121;
Bjuv kommun;Vissa trafikbrott;2014;Jun;14;94;
Bjuv kommun;Alkohol- och narkotikabrott;2014;Jun;22;148;
Bjuv kommun;Vapenbrott;2014;Jun;6;40;
Boden kommun;Totalt antal brott;2014;Jun;166;596;
Boden kommun;Våldsbrott ;2014;Jun;20;72;
Boden kommun;Hot-, kränknings- och frihetsbrott;2014;Jun;32;115;
Boden kommun;Vårdslöshet- och vållandebrott;2014;Jun;1;4;
Boden kommun;Stöldbrott;2014;Jun;51;183;
Boden kommun;Bilbrott;2014;Jun;13;47;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2014;Jun;18;65;
Boden kommun;Vissa trafikbrott;2014;Jun;9;32;
