Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Mar;197;688;
Ale kommun;Våldsbrott ;2015;Mar;21;73;
Ale kommun;Hot-, kränknings- och frihetsbrott;2015;Mar;37;129;
Ale kommun;Vårdslöshet- och vållandebrott;2015;Mar;2;7;
Ale kommun;Stöldbrott;2015;Mar;72;251;
Ale kommun;Bilbrott;2015;Mar;26;91;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2015;Mar;27;94;
Ale kommun;Vissa trafikbrott;2015;Mar;6;21;
Ale kommun;Alkohol- och narkotikabrott;2015;Mar;7;24;
Ale kommun;Vapenbrott;2015;Mar;0;0;
Alingsås kommun;Totalt antal brott;2015;Mar;396;1005;
Alingsås kommun;Våldsbrott ;2015;Mar;32;81;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2015;Mar;50;127;
Alingsås kommun;Vårdslöshet- och vållandebrott;2015;Mar;2;5;
Alingsås kommun;Stöldbrott;2015;Mar;136;345;
Alingsås kommun;Bilbrott;2015;Mar;29;74;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2015;Mar;35;89;
Alingsås kommun;Vissa trafikbrott;2015;Mar;29;74;
Alingsås kommun;Alkohol- och narkotikabrott;2015;Mar;75;190;
Alingsås kommun;Vapenbrott;2015;Mar;7;18;
Alvesta kommun;Totalt antal brott;2015;Mar;137;701;
Alvesta kommun;Våldsbrott ;2015;Mar;11;56;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2015;Mar;32;164;
Alvesta kommun;Vårdslöshet- och vållandebrott;2015;Mar;3;15;
Alvesta kommun;Stöldbrott;2015;Mar;50;256;
Alvesta kommun;Bilbrott;2015;Mar;16;82;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2015;Mar;17;87;
Alvesta kommun;Vissa trafikbrott;2015;Mar;11;56;
Alvesta kommun;Alkohol- och narkotikabrott;2015;Mar;7;36;
Alvesta kommun;Vapenbrott;2015;Mar;0;0;
Aneby kommun;Totalt antal brott;2015;Mar;31;478;
Aneby kommun;Våldsbrott ;2015;Mar;3;46;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2015;Mar;7;108;
Aneby kommun;Vårdslöshet- och vållandebrott;2015;Mar;0;0;
Aneby kommun;Stöldbrott;2015;Mar;5;77;
Aneby kommun;Bilbrott;2015;Mar;3;46;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2015;Mar;4;62;
Aneby kommun;Vissa trafikbrott;2015;Mar;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2015;Mar;0;0;
Aneby kommun;Vapenbrott;2015;Mar;0;0;
Arboga kommun;Totalt antal brott;2015;Mar;130;946;
Arboga kommun;Våldsbrott ;2015;Mar;11;80;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2015;Mar;10;73;
Arboga kommun;Vårdslöshet- och vållandebrott;2015;Mar;1;7;
Arboga kommun;Stöldbrott;2015;Mar;71;517;
