Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2013;Maj;293;1048;
Ale kommun;Våldsbrott ;2013;Maj;17;61;
Ale kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;23;82;
Ale kommun;Vårdslöshet- och vållandebrott;2013;Maj;2;7;
Ale kommun;Stöldbrott;2013;Maj;126;451;
Ale kommun;Bilbrott;2013;Maj;41;147;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;43;154;
Ale kommun;Vissa trafikbrott;2013;Maj;13;46;
Ale kommun;Alkohol- och narkotikabrott;2013;Maj;22;79;
Ale kommun;Vapenbrott;2013;Maj;6;21;
Alingsås kommun;Totalt antal brott;2013;Maj;343;891;
Alingsås kommun;Våldsbrott ;2013;Maj;31;81;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;50;130;
Alingsås kommun;Vårdslöshet- och vållandebrott;2013;Maj;2;5;
Alingsås kommun;Stöldbrott;2013;Maj;126;327;
Alingsås kommun;Bilbrott;2013;Maj;30;78;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;34;88;
Alingsås kommun;Vissa trafikbrott;2013;Maj;28;73;
Alingsås kommun;Alkohol- och narkotikabrott;2013;Maj;47;122;
Alingsås kommun;Vapenbrott;2013;Maj;5;13;
Alvesta kommun;Totalt antal brott;2013;Maj;177;924;
Alvesta kommun;Våldsbrott ;2013;Maj;18;94;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;36;188;
Alvesta kommun;Vårdslöshet- och vållandebrott;2013;Maj;1;5;
Alvesta kommun;Stöldbrott;2013;Maj;72;376;
Alvesta kommun;Bilbrott;2013;Maj;9;47;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;14;73;
Alvesta kommun;Vissa trafikbrott;2013;Maj;6;31;
Alvesta kommun;Alkohol- och narkotikabrott;2013;Maj;15;78;
Alvesta kommun;Vapenbrott;2013;Maj;4;21;
Aneby kommun;Totalt antal brott;2013;Maj;52;814;
Aneby kommun;Våldsbrott ;2013;Maj;3;47;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;5;78;
Aneby kommun;Vårdslöshet- och vållandebrott;2013;Maj;0;0;
Aneby kommun;Stöldbrott;2013;Maj;26;407;
Aneby kommun;Bilbrott;2013;Maj;4;63;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;3;47;
Aneby kommun;Vissa trafikbrott;2013;Maj;6;94;
Aneby kommun;Alkohol- och narkotikabrott;2013;Maj;6;94;
Aneby kommun;Vapenbrott;2013;Maj;0;0;
Arboga kommun;Totalt antal brott;2013;Maj;122;909;
Arboga kommun;Våldsbrott ;2013;Maj;9;67;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;11;82;
Arboga kommun;Vårdslöshet- och vållandebrott;2013;Maj;0;0;
Arboga kommun;Stöldbrott;2013;Maj;77;574;
Arboga kommun;Bilbrott;2013;Maj;14;104;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;9;67;
Arboga kommun;Vissa trafikbrott;2013;Maj;6;45;
Arboga kommun;Alkohol- och narkotikabrott;2013;Maj;7;52;
Arboga kommun;Vapenbrott;2013;Maj;2;15;
Arjeplog kommun;Totalt antal brott;2013;Maj;17;563;
Arjeplog kommun;Våldsbrott ;2013;Maj;2;66;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;3;99;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2013;Maj;0;0;
Arjeplog kommun;Stöldbrott;2013;Maj;5;166;
Arjeplog kommun;Bilbrott;2013;Maj;2;66;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;2;66;
Arjeplog kommun;Vissa trafikbrott;2013;Maj;3;99;
Arjeplog kommun;Alkohol- och narkotikabrott;2013;Maj;4;133;
Arjeplog kommun;Vapenbrott;2013;Maj;0;0;
Arvidsjaur kommun;Totalt antal brott;2013;Maj;38;587;
Arvidsjaur kommun;Våldsbrott ;2013;Maj;1;15;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;7;108;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2013;Maj;2;31;
Arvidsjaur kommun;Stöldbrott;2013;Maj;15;232;
Arvidsjaur kommun;Bilbrott;2013;Maj;2;31;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2013;Maj;2;31;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2013;Maj;5;77;
Arvidsjaur kommun;Vapenbrott;2013;Maj;0;0;
Arvika kommun;Totalt antal brott;2013;Maj;287;1111;
Arvika kommun;Våldsbrott ;2013;Maj;19;74;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;37;143;
Arvika kommun;Vårdslöshet- och vållandebrott;2013;Maj;1;4;
Arvika kommun;Stöldbrott;2013;Maj;135;523;
Arvika kommun;Bilbrott;2013;Maj;35;136;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;25;97;
Arvika kommun;Vissa trafikbrott;2013;Maj;6;23;
Arvika kommun;Alkohol- och narkotikabrott;2013;Maj;43;167;
Arvika kommun;Vapenbrott;2013;Maj;2;8;
Askersund kommun;Totalt antal brott;2013;Maj;56;507;
Askersund kommun;Våldsbrott ;2013;Maj;5;45;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;6;54;
Askersund kommun;Vårdslöshet- och vållandebrott;2013;Maj;0;0;
Askersund kommun;Stöldbrott;2013;Maj;33;299;
Askersund kommun;Bilbrott;2013;Maj;6;54;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;2;18;
Askersund kommun;Vissa trafikbrott;2013;Maj;2;18;
Askersund kommun;Alkohol- och narkotikabrott;2013;Maj;1;9;
Askersund kommun;Vapenbrott;2013;Maj;1;9;
Avesta kommun;Totalt antal brott;2013;Maj;222;1031;
Avesta kommun;Våldsbrott ;2013;Maj;15;70;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;41;190;
Avesta kommun;Vårdslöshet- och vållandebrott;2013;Maj;2;9;
Avesta kommun;Stöldbrott;2013;Maj;87;404;
Avesta kommun;Bilbrott;2013;Maj;25;116;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;42;195;
Avesta kommun;Vissa trafikbrott;2013;Maj;13;60;
Avesta kommun;Alkohol- och narkotikabrott;2013;Maj;8;37;
Avesta kommun;Vapenbrott;2013;Maj;2;9;
Bengtsfors kommun;Totalt antal brott;2013;Maj;90;941;
Bengtsfors kommun;Våldsbrott ;2013;Maj;3;31;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;11;115;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2013;Maj;3;31;
Bengtsfors kommun;Stöldbrott;2013;Maj;32;334;
Bengtsfors kommun;Bilbrott;2013;Maj;6;63;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;8;84;
Bengtsfors kommun;Vissa trafikbrott;2013;Maj;11;115;
Bengtsfors kommun;Alkohol- och narkotikabrott;2013;Maj;12;125;
Bengtsfors kommun;Vapenbrott;2013;Maj;2;21;
Berg kommun;Totalt antal brott;2013;Maj;22;306;
Berg kommun;Våldsbrott ;2013;Maj;2;28;
Berg kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;2;28;
Berg kommun;Vårdslöshet- och vållandebrott;2013;Maj;0;0;
Berg kommun;Stöldbrott;2013;Maj;10;139;
Berg kommun;Bilbrott;2013;Maj;1;14;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;2;28;
Berg kommun;Vissa trafikbrott;2013;Maj;4;56;
Berg kommun;Alkohol- och narkotikabrott;2013;Maj;1;14;
Berg kommun;Vapenbrott;2013;Maj;0;0;
Bjurholm kommun;Totalt antal brott;2013;Maj;15;618;
Bjurholm kommun;Våldsbrott ;2013;Maj;2;82;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;5;206;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2013;Maj;1;41;
Bjurholm kommun;Stöldbrott;2013;Maj;2;82;
Bjurholm kommun;Bilbrott;2013;Maj;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;2;82;
Bjurholm kommun;Vissa trafikbrott;2013;Maj;2;82;
Bjurholm kommun;Alkohol- och narkotikabrott;2013;Maj;1;41;
Bjurholm kommun;Vapenbrott;2013;Maj;0;0;
Bjuv kommun;Totalt antal brott;2013;Maj;200;1348;
Bjuv kommun;Våldsbrott ;2013;Maj;12;81;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;42;283;
Bjuv kommun;Vårdslöshet- och vållandebrott;2013;Maj;3;20;
Bjuv kommun;Stöldbrott;2013;Maj;66;445;
Bjuv kommun;Bilbrott;2013;Maj;15;101;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;23;155;
Bjuv kommun;Vissa trafikbrott;2013;Maj;15;101;
Bjuv kommun;Alkohol- och narkotikabrott;2013;Maj;19;128;
Bjuv kommun;Vapenbrott;2013;Maj;5;34;
Boden kommun;Totalt antal brott;2013;Maj;209;754;
Boden kommun;Våldsbrott ;2013;Maj;21;76;
Boden kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;30;108;
Boden kommun;Vårdslöshet- och vållandebrott;2013;Maj;3;11;
Boden kommun;Stöldbrott;2013;Maj;78;281;
Boden kommun;Bilbrott;2013;Maj;18;65;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2013;Maj;23;83;
Boden kommun;Vissa trafikbrott;2013;Maj;18;65;
Boden kommun;Alkohol- och narkotikabrott;2013;Maj;26;94;
Boden kommun;Vapenbrott;2013;Maj;4;14;
Bollebygd kommun;Totalt antal brott;2013;Maj;44;516;
Bollebygd kommun;Våldsbrott ;2013;Maj;4;47;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2013;Maj;3;35;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2013;Maj;1;12;
