Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2014;Nov;195;690;
Ale kommun;Våldsbrott ;2014;Nov;20;71;
Ale kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;30;106;
Ale kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Ale kommun;Stöldbrott;2014;Nov;72;255;
Ale kommun;Bilbrott;2014;Nov;24;85;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;38;135;
Ale kommun;Vissa trafikbrott;2014;Nov;9;32;
Ale kommun;Alkohol- och narkotikabrott;2014;Nov;9;32;
Ale kommun;Vapenbrott;2014;Nov;3;11;
Alingsås kommun;Totalt antal brott;2014;Nov;349;897;
Alingsås kommun;Våldsbrott ;2014;Nov;30;77;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;41;105;
Alingsås kommun;Vårdslöshet- och vållandebrott;2014;Nov;2;5;
Alingsås kommun;Stöldbrott;2014;Nov;107;275;
Alingsås kommun;Bilbrott;2014;Nov;40;103;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;32;82;
Alingsås kommun;Vissa trafikbrott;2014;Nov;29;75;
Alingsås kommun;Alkohol- och narkotikabrott;2014;Nov;57;147;
Alingsås kommun;Vapenbrott;2014;Nov;6;15;
Alvesta kommun;Totalt antal brott;2014;Nov;134;691;
Alvesta kommun;Våldsbrott ;2014;Nov;7;36;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;18;93;
Alvesta kommun;Vårdslöshet- och vållandebrott;2014;Nov;1;5;
Alvesta kommun;Stöldbrott;2014;Nov;62;320;
Alvesta kommun;Bilbrott;2014;Nov;14;72;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;28;144;
Alvesta kommun;Vissa trafikbrott;2014;Nov;7;36;
Alvesta kommun;Alkohol- och narkotikabrott;2014;Nov;4;21;
Alvesta kommun;Vapenbrott;2014;Nov;0;0;
Aneby kommun;Totalt antal brott;2014;Nov;21;328;
Aneby kommun;Våldsbrott ;2014;Nov;0;0;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;3;47;
Aneby kommun;Vårdslöshet- och vållandebrott;2014;Nov;1;16;
Aneby kommun;Stöldbrott;2014;Nov;12;187;
Aneby kommun;Bilbrott;2014;Nov;2;31;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;1;16;
Aneby kommun;Vissa trafikbrott;2014;Nov;1;16;
Aneby kommun;Alkohol- och narkotikabrott;2014;Nov;1;16;
Aneby kommun;Vapenbrott;2014;Nov;0;0;
Arboga kommun;Totalt antal brott;2014;Nov;98;723;
Arboga kommun;Våldsbrott ;2014;Nov;9;66;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;15;111;
Arboga kommun;Vårdslöshet- och vållandebrott;2014;Nov;1;7;
Arboga kommun;Stöldbrott;2014;Nov;42;310;
Arboga kommun;Bilbrott;2014;Nov;6;44;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;6;44;
Arboga kommun;Vissa trafikbrott;2014;Nov;8;59;
Arboga kommun;Alkohol- och narkotikabrott;2014;Nov;13;96;
Arboga kommun;Vapenbrott;2014;Nov;1;7;
Arjeplog kommun;Totalt antal brott;2014;Nov;12;408;
Arjeplog kommun;Våldsbrott ;2014;Nov;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;5;170;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Arjeplog kommun;Stöldbrott;2014;Nov;5;170;
Arjeplog kommun;Bilbrott;2014;Nov;1;34;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;1;34;
Arjeplog kommun;Vissa trafikbrott;2014;Nov;0;0;
Arjeplog kommun;Alkohol- och narkotikabrott;2014;Nov;0;0;
Arjeplog kommun;Vapenbrott;2014;Nov;0;0;
Arvidsjaur kommun;Totalt antal brott;2014;Nov;41;633;
Arvidsjaur kommun;Våldsbrott ;2014;Nov;1;15;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;2;31;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Arvidsjaur kommun;Stöldbrott;2014;Nov;13;201;
Arvidsjaur kommun;Bilbrott;2014;Nov;3;46;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;2;31;
Arvidsjaur kommun;Vissa trafikbrott;2014;Nov;7;108;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2014;Nov;18;278;
Arvidsjaur kommun;Vapenbrott;2014;Nov;0;0;
Arvika kommun;Totalt antal brott;2014;Nov;277;1074;
Arvika kommun;Våldsbrott ;2014;Nov;20;78;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;24;93;
Arvika kommun;Vårdslöshet- och vållandebrott;2014;Nov;1;4;
Arvika kommun;Stöldbrott;2014;Nov;118;457;
Arvika kommun;Bilbrott;2014;Nov;26;101;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;19;74;
Arvika kommun;Vissa trafikbrott;2014;Nov;32;124;
Arvika kommun;Alkohol- och narkotikabrott;2014;Nov;53;205;
Arvika kommun;Vapenbrott;2014;Nov;6;23;
Askersund kommun;Totalt antal brott;2014;Nov;72;648;
Askersund kommun;Våldsbrott ;2014;Nov;9;81;
Askersund kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;13;117;
Askersund kommun;Vårdslöshet- och vållandebrott;2014;Nov;1;9;
Askersund kommun;Stöldbrott;2014;Nov;25;225;
Askersund kommun;Bilbrott;2014;Nov;3;27;
Askersund kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;4;36;
Askersund kommun;Vissa trafikbrott;2014;Nov;1;9;
Askersund kommun;Alkohol- och narkotikabrott;2014;Nov;10;90;
Askersund kommun;Vapenbrott;2014;Nov;0;0;
Avesta kommun;Totalt antal brott;2014;Nov;148;679;
Avesta kommun;Våldsbrott ;2014;Nov;29;133;
Avesta kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;19;87;
Avesta kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Avesta kommun;Stöldbrott;2014;Nov;71;326;
Avesta kommun;Bilbrott;2014;Nov;13;60;
Avesta kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;6;28;
Avesta kommun;Vissa trafikbrott;2014;Nov;2;9;
Avesta kommun;Alkohol- och narkotikabrott;2014;Nov;7;32;
Avesta kommun;Vapenbrott;2014;Nov;4;18;
Bengtsfors kommun;Totalt antal brott;2014;Nov;48;502;
Bengtsfors kommun;Våldsbrott ;2014;Nov;3;31;
Bengtsfors kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;4;42;
Bengtsfors kommun;Vårdslöshet- och vållandebrott;2014;Nov;1;10;
Bengtsfors kommun;Stöldbrott;2014;Nov;19;199;
Bengtsfors kommun;Bilbrott;2014;Nov;6;63;
Bengtsfors kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;0;0;
Bengtsfors kommun;Vissa trafikbrott;2014;Nov;11;115;
Bengtsfors kommun;Alkohol- och narkotikabrott;2014;Nov;10;105;
Bengtsfors kommun;Vapenbrott;2014;Nov;1;10;
Berg kommun;Totalt antal brott;2014;Nov;30;422;
Berg kommun;Våldsbrott ;2014;Nov;1;14;
Berg kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;8;112;
Berg kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Berg kommun;Stöldbrott;2014;Nov;6;84;
Berg kommun;Bilbrott;2014;Nov;0;0;
Berg kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;4;56;
Berg kommun;Vissa trafikbrott;2014;Nov;6;84;
Berg kommun;Alkohol- och narkotikabrott;2014;Nov;3;42;
Berg kommun;Vapenbrott;2014;Nov;0;0;
Bjurholm kommun;Totalt antal brott;2014;Nov;7;286;
Bjurholm kommun;Våldsbrott ;2014;Nov;0;0;
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;0;0;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Bjurholm kommun;Stöldbrott;2014;Nov;3;123;
Bjurholm kommun;Bilbrott;2014;Nov;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;2;82;
Bjurholm kommun;Vissa trafikbrott;2014;Nov;0;0;
Bjurholm kommun;Alkohol- och narkotikabrott;2014;Nov;0;0;
Bjurholm kommun;Vapenbrott;2014;Nov;0;0;
Bjuv kommun;Totalt antal brott;2014;Nov;179;1206;
Bjuv kommun;Våldsbrott ;2014;Nov;50;337;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;16;108;
Bjuv kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Bjuv kommun;Stöldbrott;2014;Nov;53;357;
Bjuv kommun;Bilbrott;2014;Nov;11;74;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;10;67;
Bjuv kommun;Vissa trafikbrott;2014;Nov;12;81;
Bjuv kommun;Alkohol- och narkotikabrott;2014;Nov;8;54;
Bjuv kommun;Vapenbrott;2014;Nov;1;7;
Boden kommun;Totalt antal brott;2014;Nov;171;614;
Boden kommun;Våldsbrott ;2014;Nov;17;61;
Boden kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;27;97;
Boden kommun;Vårdslöshet- och vållandebrott;2014;Nov;0;0;
Boden kommun;Stöldbrott;2014;Nov;58;208;
Boden kommun;Bilbrott;2014;Nov;9;32;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2014;Nov;10;36;
Boden kommun;Vissa trafikbrott;2014;Nov;11;39;
Boden kommun;Alkohol- och narkotikabrott;2014;Nov;24;86;
Boden kommun;Vapenbrott;2014;Nov;0;0;
Bollebygd kommun;Totalt antal brott;2014;Nov;56;651;
Bollebygd kommun;Våldsbrott ;2014;Nov;0;0;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2014;Nov;6;70;
