Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Okt;207;717;
Ale kommun;Våldsbrott ;2016 prel.;Okt;19;66;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;28;97;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Ale kommun;Stöldbrott;2016 prel.;Okt;69;239;
Ale kommun;Bilbrott;2016 prel.;Okt;29;100;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;41;142;
Ale kommun;Vissa trafikbrott;2016 prel.;Okt;12;42;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;19;66;
Ale kommun;Vapenbrott;2016 prel.;Okt;4;14;
Alingsås kommun;Totalt antal brott;2016 prel.;Okt;344;869;
Alingsås kommun;Våldsbrott ;2016 prel.;Okt;33;83;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;41;104;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;3;
Alingsås kommun;Stöldbrott;2016 prel.;Okt;132;333;
Alingsås kommun;Bilbrott;2016 prel.;Okt;20;51;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;34;86;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Okt;26;66;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;40;101;
Alingsås kommun;Vapenbrott;2016 prel.;Okt;3;8;
Alvesta kommun;Totalt antal brott;2016 prel.;Okt;111;567;
Alvesta kommun;Våldsbrott ;2016 prel.;Okt;14;71;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;19;97;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;5;
Alvesta kommun;Stöldbrott;2016 prel.;Okt;39;199;
Alvesta kommun;Bilbrott;2016 prel.;Okt;10;51;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;14;71;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Okt;3;15;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;1;5;
Alvesta kommun;Vapenbrott;2016 prel.;Okt;1;5;
Aneby kommun;Totalt antal brott;2016 prel.;Okt;52;795;
Aneby kommun;Våldsbrott ;2016 prel.;Okt;3;46;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;10;153;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;15;
Aneby kommun;Stöldbrott;2016 prel.;Okt;17;260;
Aneby kommun;Bilbrott;2016 prel.;Okt;3;46;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;12;184;
Aneby kommun;Vissa trafikbrott;2016 prel.;Okt;2;31;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;2;31;
Aneby kommun;Vapenbrott;2016 prel.;Okt;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Okt;84;606;
Arboga kommun;Våldsbrott ;2016 prel.;Okt;2;14;
Arboga kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;5;36;
Arboga kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;7;
Arboga kommun;Stöldbrott;2016 prel.;Okt;24;173;
Arboga kommun;Bilbrott;2016 prel.;Okt;6;43;
Arboga kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;15;108;
Arboga kommun;Vissa trafikbrott;2016 prel.;Okt;9;65;
Arboga kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;9;65;
Arboga kommun;Vapenbrott;2016 prel.;Okt;0;0;
Arjeplog kommun;Totalt antal brott;2016 prel.;Okt;20;693;
Arjeplog kommun;Våldsbrott ;2016 prel.;Okt;0;0;
Arjeplog kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;1;35;
Arjeplog kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Arjeplog kommun;Stöldbrott;2016 prel.;Okt;8;277;
Arjeplog kommun;Bilbrott;2016 prel.;Okt;0;0;
Arjeplog kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;2;69;
Arjeplog kommun;Vissa trafikbrott;2016 prel.;Okt;3;104;
Arjeplog kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;2;69;
Arjeplog kommun;Vapenbrott;2016 prel.;Okt;0;0;
Arvidsjaur kommun;Totalt antal brott;2016 prel.;Okt;66;1020;
Arvidsjaur kommun;Våldsbrott ;2016 prel.;Okt;10;155;
Arvidsjaur kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;3;46;
Arvidsjaur kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Arvidsjaur kommun;Stöldbrott;2016 prel.;Okt;24;371;
Arvidsjaur kommun;Bilbrott;2016 prel.;Okt;5;77;
Arvidsjaur kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;3;46;
Arvidsjaur kommun;Vissa trafikbrott;2016 prel.;Okt;4;62;
Arvidsjaur kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;12;185;
Arvidsjaur kommun;Vapenbrott;2016 prel.;Okt;5;77;
Arvika kommun;Totalt antal brott;2016 prel.;Okt;230;890;
Arvika kommun;Våldsbrott ;2016 prel.;Okt;29;112;
Arvika kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;25;97;
Arvika kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Arvika kommun;Stöldbrott;2016 prel.;Okt;72;279;
Arvika kommun;Bilbrott;2016 prel.;Okt;12;46;
Arvika kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;19;74;
