Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2016 prel.;Sep;203;703;
Ale kommun;Våldsbrott ;2016 prel.;Sep;11;38;
Ale kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Sep;36;125;
Ale kommun;Vårdslöshet- och vållandebrott;2016 prel.;Sep;1;3;
Ale kommun;Stöldbrott;2016 prel.;Sep;83;288;
Ale kommun;Bilbrott;2016 prel.;Sep;34;118;
Ale kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Sep;42;146;
Ale kommun;Vissa trafikbrott;2016 prel.;Sep;6;21;
Ale kommun;Alkohol- och narkotikabrott;2016 prel.;Sep;6;21;
Ale kommun;Vapenbrott;2016 prel.;Sep;1;3;
Alingsås kommun;Totalt antal brott;2016 prel.;Sep;318;803;
Alingsås kommun;Våldsbrott ;2016 prel.;Sep;21;53;
Alingsås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Sep;37;93;
Alingsås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Sep;4;10;
Alingsås kommun;Stöldbrott;2016 prel.;Sep;118;298;
Alingsås kommun;Bilbrott;2016 prel.;Sep;14;35;
Alingsås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Sep;29;73;
Alingsås kommun;Vissa trafikbrott;2016 prel.;Sep;29;73;
Alingsås kommun;Alkohol- och narkotikabrott;2016 prel.;Sep;57;144;
Alingsås kommun;Vapenbrott;2016 prel.;Sep;3;8;
Alvesta kommun;Totalt antal brott;2016 prel.;Sep;130;664;
Alvesta kommun;Våldsbrott ;2016 prel.;Sep;19;97;
Alvesta kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Sep;14;71;
Alvesta kommun;Vårdslöshet- och vållandebrott;2016 prel.;Sep;0;0;
Alvesta kommun;Stöldbrott;2016 prel.;Sep;61;312;
Alvesta kommun;Bilbrott;2016 prel.;Sep;9;46;
Alvesta kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Sep;10;51;
Alvesta kommun;Vissa trafikbrott;2016 prel.;Sep;4;20;
Alvesta kommun;Alkohol- och narkotikabrott;2016 prel.;Sep;3;15;
Alvesta kommun;Vapenbrott;2016 prel.;Sep;1;5;
Aneby kommun;Totalt antal brott;2016 prel.;Sep;63;964;
Aneby kommun;Våldsbrott ;2016 prel.;Sep;6;92;
Aneby kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Sep;14;214;
Aneby kommun;Vårdslöshet- och vållandebrott;2016 prel.;Sep;0;0;
Aneby kommun;Stöldbrott;2016 prel.;Sep;23;352;
Aneby kommun;Bilbrott;2016 prel.;Sep;8;122;
Aneby kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Sep;8;122;
Aneby kommun;Vissa trafikbrott;2016 prel.;Sep;3;46;
Aneby kommun;Alkohol- och narkotikabrott;2016 prel.;Sep;3;46;
Aneby kommun;Vapenbrott;2016 prel.;Sep;0;0;
Arboga kommun;Totalt antal brott;2016 prel.;Sep;93;671;
